image_id,file_path,label,class_name,readable,mean_pixel,pixel_std,center_mean,edge_mean,center_edge_ratio,usable,flag_reason
confident_0001,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0001.jpg,1,lens,1,78.95442708333333,47.62141100113976,161.1887755102041,52.28684895833333,3.0827784737205093,1,
confident_0002,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0002.jpg,1,lens,1,44.904215494791664,28.193667276220168,72.9812925170068,37.671788194444446,1.937292973803579,1,
confident_0003,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0003.jpg,1,lens,1,34.608235677083336,13.128454860736422,44.48015873015873,34.21358506944444,1.3000729780232885,1,
confident_0004,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0004.jpg,1,lens,1,132.16263834635416,58.56098109194028,244.4038170823885,83.7474392361111,2.9183437295914376,1,
confident_0005,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0005.jpg,1,lens,1,39.854207356770836,22.97144048244501,55.97486772486773,38.70447048611111,1.4462119123614439,1,
confident_0006,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0006.jpg,1,lens,1,37.627888997395836,20.612815060778715,45.13189720332578,36.92174479166667,1.222366284031785,1,
confident_0007,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0007.jpg,1,lens,1,41.594462076822914,30.08503079968717,57.65173847316704,34.16280381944444,1.687558699523214,1,
confident_0008,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0008.jpg,1,lens,1,38.11456298828125,20.716427475471143,47.311980347694636,37.55104166666667,1.2599378602526146,1,
confident_0009,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0009.jpg,1,lens,1,38.45965576171875,18.204026934343172,64.28703703703704,34.31189236111111,1.8736079749507375,1,
confident_0010,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\data\raw\lens\confident_0010.jpg,1,lens,1,32.0,0.0,32.0,32.0,0.9999999687500011,0,low_variance
