epoch,train_loss,train_accuracy,train_roc_auc,val_loss,val_accuracy,val_roc_auc
1,0.28962300406122693,0.8961370262390671,0.9562861592702618,0.18889847712046434,0.9251700680272109,0.9818339801888432
2,0.19414343354740227,0.9369533527696793,0.978002074111439,0.19472590732533915,0.9217687074829932,0.9848577883334299
3,0.17211583971912067,0.9395043731778425,0.9828691591122292,0.19414080649006124,0.9217687074829932,0.9854023055088919
4,0.15529500990671596,0.9464285714285714,0.9857749370929132,0.16173584257461587,0.9455782312925171,0.9862132885361756
5,0.16194580527940228,0.9438775510204082,0.9847533121665418,0.1590953424420892,0.9404761904761905,0.985784626078897
6,0.16203869121154613,0.9460641399416909,0.9849022991349711,0.1565542757054981,0.9523809523809523,0.9862712158952673
7,0.15141895418829196,0.9482507288629738,0.9868550926140243,0.16117420194505835,0.9404761904761905,0.9863870706134508
8,0.14904978799663549,0.9460641399416909,0.9872632104882569,0.15306265966421892,0.9404761904761905,0.9870011006198227
9,0.14211305792907758,0.950801749271137,0.9880845011517225,0.16076688811841872,0.9421768707482994,0.986908416845276
10,0.147614097488778,0.951530612244898,0.9869072380529744,0.14169692896864042,0.95578231292517,0.9883334298789318
11,0.1456456898355927,0.9475218658892128,0.9875877892409061,0.1405552846005782,0.9472789115646258,0.9881828187452935
12,0.1404019315379506,0.9497084548104956,0.9884146669156878,0.1438181166898231,0.95578231292517,0.9885187974280253
13,0.13304631186393973,0.9559037900874635,0.989550160453644,0.17022145899380145,0.9455782312925171,0.9873486647743729
14,0.13769623640186152,0.952259475218659,0.9890483936278273,0.15282682220445198,0.9404761904761905,0.986943173260731
15,0.13096255874166227,0.9548104956268222,0.9900444779310393,0.14202195822837807,0.9523809523809523,0.9881364768580201
16,0.1363260234670806,0.9533527696793003,0.9891633264320441,0.14369237453353648,0.9506802721088435,0.9885767247871169
17,0.11812937416478383,0.9591836734693877,0.9919068150364033,0.15041496832760012,0.9489795918367347,0.9881248913862017
18,0.1144109886593074,0.9610058309037901,0.9919967393137767,0.15466007593461648,0.9472789115646258,0.987800498175288
19,0.12723138196116895,0.9591836734693877,0.9902786003099994,0.150722970995976,0.9472789115646258,0.9874992759080113
