epoch,train_loss,train_accuracy,train_roc_auc,val_loss,val_accuracy,val_roc_auc,model
1,0.7058464276547335,0.6486880466472303,0.731622324420188,0.6669590947579365,0.7976190476190477,0.8769507038174129,Custom CNN
2,0.5780366261220882,0.7857142857142857,0.8543226706552606,0.494230335261546,0.8197278911564626,0.8956033134449399,Custom CNN
3,0.4592253143516296,0.827259475218659,0.8987604284226696,0.4073576777159762,0.858843537414966,0.929120083415397,Custom CNN
4,0.380086307101625,0.8698979591836735,0.9326818346042454,0.3353761114230772,0.8860544217687075,0.9506458900538725,Custom CNN
5,0.3493104928088952,0.8830174927113703,0.9421685798189702,0.3101729852001683,0.8928571428571429,0.9568209465330476,Custom CNN
6,0.3267315641784112,0.8928571428571429,0.9495593976456868,0.295985358101981,0.903061224489796,0.9587441348548918,Custom CNN
7,0.3188260817579903,0.901603498542274,0.9519666013784488,0.2852917921786405,0.9013605442176872,0.9592307246712622,Custom CNN
8,0.3024170819246387,0.9081632653061223,0.954159370295936,0.2806080778439839,0.9081632653061223,0.9604008573249144,Custom CNN
9,0.2923609535304867,0.909256559766764,0.957181677369784,0.2728250298370309,0.9081632653061223,0.9612813531831084,Custom CNN
10,0.2904536748419002,0.9048833819241984,0.9570741939139888,0.2732474070017029,0.91156462585034,0.9618664195099346,Custom CNN
11,0.2893215408304342,0.90634110787172,0.957829238586135,0.2639063649437054,0.9098639455782312,0.963181370561316,Custom CNN
12,0.2896628325082818,0.9099854227405249,0.95871039008513,0.2632109222768926,0.9149659863945578,0.962694780744946,Custom CNN
13,0.271297674050484,0.9132653061224488,0.9628410537848278,0.2559499521644748,0.91156462585034,0.9631350286740428,Custom CNN
14,0.2754970795906667,0.9096209912536444,0.9607158610994492,0.252756649945058,0.9166666666666666,0.9641545501940568,Custom CNN
15,0.2715634403006328,0.9147230320699709,0.9623738732195392,0.2488802582228264,0.9098639455782312,0.9653710247349824,Custom CNN
16,0.2587204047264232,0.9158163265306124,0.9646278332133456,0.2467754349416616,0.9183673469387756,0.9653710247349824,Custom CNN
17,0.2652608210508747,0.912536443148688,0.964035077917524,0.2439677269280362,0.9132653061224488,0.9661356658749928,Custom CNN
18,0.2626876527383793,0.9165451895043732,0.963598758938553,0.2413627805353022,0.9217687074829932,0.9669582343740948,Custom CNN
19,0.2601304774555451,0.9198250728862972,0.9641234059059496,0.2381741578887109,0.923469387755102,0.9673057985286452,Custom CNN
20,0.2504304414370665,0.9165451895043732,0.9656473297544534,0.2362722701766864,0.9183673469387756,0.9676765336268318,Custom CNN
21,0.2572243086363762,0.9169096209912536,0.9670760083624256,0.2340891012529126,0.9200680272108844,0.9680356832532004,Custom CNN
22,0.2478451686246054,0.9205539358600584,0.9663922645965992,0.2311530486256087,0.923469387755102,0.9685338585413892,Custom CNN
23,0.2459052201610264,0.9209183673469388,0.9668833894960994,0.230467318272104,0.9200680272108844,0.968835080808666,Custom CNN
24,0.2543545970503165,0.9209183673469388,0.9651844059596916,0.2296303680964878,0.9200680272108844,0.969588136476858,Custom CNN
25,0.2476492350372559,0.9165451895043732,0.96763151691614,0.2296938729934952,0.9217687074829932,0.9693680125123096,Custom CNN
26,0.2469631802757697,0.922740524781341,0.9678975650740492,0.2239390741400167,0.9285714285714286,0.9708277819614204,Custom CNN
27,0.244620240855495,0.9209183673469388,0.967335671364545,0.2247363746571703,0.9217687074829932,0.970885709320512,Custom CNN
28,0.2462850032325388,0.9190962099125364,0.9676011874261384,0.2254006424728705,0.923469387755102,0.971430226495974,Custom CNN
29,0.2532125857846035,0.9212827988338192,0.9665513613950288,0.2235963973058324,0.9302721088435374,0.9713722991368824,Custom CNN
30,0.2375254695339036,0.9220116618075802,0.9686877281030392,0.2225940596489679,0.9302721088435374,0.9711174187568788,Custom CNN
31,0.2371932056137841,0.9274781341107872,0.969477092987556,0.2197755867121171,0.9268707482993196,0.9717198632914325,Custom CNN
32,0.2472075599275594,0.9252915451895044,0.9672579853024356,0.2204373787049533,0.9268707482993196,0.9722527949950762,Custom CNN
33,0.2349418421702204,0.9256559766763848,0.9697726724909932,0.2158047840708778,0.9251700680272108,0.9726003591496264,Custom CNN
34,0.2334862963755346,0.9231049562682216,0.9699317692894226,0.21458464739274,0.9319727891156464,0.9731217053814516,Custom CNN
35,0.2387550070925287,0.9205539358600584,0.968985169943582,0.2125929930583149,0.9268707482993196,0.9733302438741818,Custom CNN
36,0.2347442974762736,0.9252915451895044,0.9688606594056804,0.2154346951822034,0.9285714285714286,0.9731448763250884,Custom CNN
37,0.2313391096216596,0.9260204081632653,0.96981630438889,0.2117445902759526,0.9268707482993196,0.9735387823669118,Custom CNN
38,0.228676884997169,0.9252915451895044,0.9711790030537006,0.2099351992412489,0.9302721088435374,0.9737357353878237,Custom CNN
39,0.2304017285737629,0.9285714285714286,0.9713442189597622,0.2106711199494446,0.9319727891156464,0.9742454961478306,Custom CNN
40,0.2373310910543269,0.9278425655976676,0.9688436323235742,0.2112434624003715,0.9319727891156464,0.9740369576551006,Custom CNN
41,0.2279244807736171,0.924198250728863,0.9714141896252924,0.2063020102831782,0.9285714285714286,0.9746046457741993,Custom CNN
42,0.2188804912497629,0.9285714285714286,0.9726592950043071,0.20692211430089,0.9302721088435374,0.9755778254069396,Custom CNN
